CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,NumTechTickets,NumAdminTickets,SubscriptionTimeGroup
CUST100000,Male,Yes,Yes,No,42,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card,118.12,954.11,Yes,1,0,<4 Years
CUST100001,Male,No,No,No,53,Yes,No,No,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer,109.46,4394.56,No,3,2,<5 Years
CUST100002,Female,Yes,Yes,Yes,58,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,108.35,7990.6,Yes,3,1,<5 Years
CUST100003,Male,No,Yes,No,8,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card,94.62,3326.1,Yes,9,4,<1 Year
CUST100004,Male,No,Yes,Yes,61,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,45.41,6723.29,Yes,2,4,<6 Years
CUST100005,Male,Yes,No,No,65,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,71.01,7851.35,No,6,3,<6 Years
CUST100006,Male,No,Yes,No,60,No,Yes,No,Yes,Yes,No,No,No,No,Two year,No,Bank transfer,113.61,4978.4,No,2,0,<6 Years
CUST100007,Male,Yes,Yes,Yes,64,No,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,19.84,2253.51,Yes,8,1,<6 Years
CUST100008,Female,Yes,No,Yes,44,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,107.36,6467.7,Yes,9,0,<4 Years
CUST100009,Male,No,Yes,No,45,No,No,No,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,87.32,1477.67,No,1,1,<4 Years
CUST100010,Male,No,Yes,Yes,33,No,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,58.67,6612.63,No,10,2,<3 Years
CUST100011,Male,Yes,No,No,21,No,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer,74.36,3773.51,No,8,4,<2 Years
CUST100012,Male,No,Yes,Yes,56,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Credit card,88.57,4670.43,No,3,1,<5 Years
CUST100013,Male,No,No,No,10,Yes,Yes,No,No,No,No,Yes,No,No,Two year,No,Bank transfer,66.29,7829.25,No,7,2,<1 Year
CUST100014,Male,Yes,Yes,Yes,4,No,Yes,No,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer,107.96,2685.24,Yes,8,1,<1 Year
CUST100015,Male,No,No,Yes,31,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,66.55,4632.05,Yes,9,1,<3 Years
CUST100016,Female,Yes,Yes,Yes,68,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card,75.26,1017.43,Yes,5,5,<6 Years
CUST100017,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,56.84,4930.76,Yes,2,5,<3 Years
CUST100018,Female,No,Yes,Yes,19,No,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Credit card,28.4,5966.72,Yes,6,1,<2 Years
CUST100019,Female,No,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer,76.67,4178.19,Yes,4,0,<3 Years
CUST100020,Male,Yes,Yes,No,62,No,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card,113.75,3806.89,Yes,9,2,<6 Years
CUST100021,Male,No,No,Yes,27,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,83.78,7498.57,No,2,5,<3 Years
CUST100022,Female,Yes,Yes,No,52,No,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,112.65,3950.73,No,10,3,<5 Years
CUST100023,Female,Yes,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card,97.1,7114.1,No,5,4,<2 Years
CUST100024,Female,No,No,Yes,59,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Credit card,119.78,5959.7,Yes,10,5,<5 Years
CUST100025,Male,Yes,No,No,27,No,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer,55.0,3535.49,No,4,1,<3 Years
